"year","state_abbr","state_name","population","violent_crime","homicide","robbery","aggravated_assault","property_crime","burglary","larceny","motor_vehicle_theft","rape"
1979,"AK","Alaska",406000,1994,54,445,1203,23193,5616,15076,2501,292
1979,"AL","Alabama",3769000,15578,496,4127,9918,144372,48517,83791,12064,1037
1979,"AR","Arkansas",2180000,7984,198,1626,5565,70949,21457,45267,4225,595
1979,"AZ","Arizona",2450000,14528,219,4305,8884,177977,48916,116976,12085,1120
1979,"CA","California",22696000,184087,2952,75767,93129,1511021,496310,847148,167563,12239
1979,"CO","Colorado",2772000,14472,161,4353,8486,180984,49741,117898,13345,1472
1979,"CT","Connecticut",3115000,12902,131,6021,5998,167131,48229,96997,21905,752
1979,"DC","District of Columbia",656000,10553,180,6920,2964,45877,13452,28819,3606,489
1979,"DE","Delaware",582000,3127,33,753,2179,34853,8890,23081,2882,162
1979,"FL","Florida",8860000,73881,1084,22097,46124,607281,190884,378099,38298,4576
1979,"GA","Georgia",5118000,28594,877,10939,14562,248641,81579,145758,21304,2216
1979,"HI","Hawaii",915000,2651,66,1688,601,63664,16538,40580,6546,296
1979,"IA","Iowa",2903000,5259,65,1457,3417,119620,26768,85023,7829,320
1979,"ID","Idaho",905000,2613,49,392,1986,35766,9729,23577,2460,186
1979,"IL","Illinois",11230000,83540,1203,36056,42579,593750,161776,356062,75912,3702
1979,"IN","Indiana",5400000,18254,448,7167,8958,230223,63176,143666,23381,1681
1979,"KS","Kansas",2369000,8376,130,2423,5197,107605,31504,69622,6479,626
1979,"KY","Kentucky",3527000,8748,335,3247,4447,103548,32082,62431,9035,719
1979,"LA","Louisiana",4026000,27229,682,8832,16161,188514,56237,115856,16421,1554
1979,"MA","Massachusetts",5769000,30650,212,11724,17286,310756,92570,152135,66051,1428
1979,"MD","Maryland",4149000,33007,406,13740,17225,228159,62630,145297,20232,1636
1979,"ME","Maine",1097000,2221,31,349,1710,45030,12592,29828,2610,131
1979,"MI","Michigan",9208000,56558,834,20218,31406,509457,138806,315211,55440,4100
1979,"MN","Minnesota",4060000,8973,93,3754,4255,169376,45183,110827,13366,871
1979,"MO","Missouri",4868000,25662,543,10267,13214,214809,70423,124398,19988,1638
1979,"MS","Mississippi",2406000,7786,302,1702,5259,63447,23428,36006,4013,523
1979,"MT","Montana",786000,1762,33,260,1307,33298,6314,24537,2447,162
1979,"NC","North Carolina",5606000,25009,600,4327,18945,220113,72687,134903,12523,1137
1979,"ND","North Dakota",657000,403,10,65,274,17703,3029,13607,1067,54
1979,"NE","Nebraska",1574000,3556,65,1157,1996,59295,12804,42195,4296,338
1979,"NH","New Hampshire",887000,1241,21,254,814,39373,10635,25856,2882,152
1979,"NJ","New Jersey",7332000,36747,484,18332,15894,390018,117421,221552,51045,2037
1979,"NM","New Mexico",1241000,7272,154,1502,5034,64563,18385,41745,4433,582
1979,"NV","Nevada",702000,5866,123,2861,2464,56132,19799,31388,4945,418
1979,"NY","New York",17649000,161906,2092,93471,60949,933234,308302,500589,124343,5394
1979,"OH","Ohio",10731000,49092,865,20909,23909,501389,138128,316162,47099,3409
1979,"OK","Oklahoma",2892000,11719,281,2966,7519,124293,42646,69292,12355,953
1979,"OR","Oregon",2527000,13781,107,3299,9254,147264,40682,96823,9759,1121
1979,"PA","Pennsylvania",11731000,39133,724,17855,18021,370914,109668,215567,45679,2533
1979,"RI","Rhode Island",929000,3485,30,1019,2295,50114,14400,28347,7367,141
1979,"SC","South Carolina",2932000,19889,368,3156,15359,128651,44160,75807,8684,1006
